Compression Time 6.277008e-04, Decompression Time 6.092689e-04, OrigSize 8, Compressed Sized 8
Compression Time 6.279471e-04, Decompression Time 6.400361e-04, OrigSize 16, Compressed Sized 8
Compression Time 6.272061e-04, Decompression Time 6.431181e-04, OrigSize 32, Compressed Sized 8
Compression Time 6.281090e-04, Decompression Time 6.087260e-04, OrigSize 64, Compressed Sized 16
Compression Time 6.276550e-04, Decompression Time 6.087451e-04, OrigSize 128, Compressed Sized 32
Compression Time 6.278250e-04, Decompression Time 6.094930e-04, OrigSize 256, Compressed Sized 64
Compression Time 6.271482e-04, Decompression Time 6.092229e-04, OrigSize 512, Compressed Sized 128
Compression Time 6.279590e-04, Decompression Time 6.088240e-04, OrigSize 1024, Compressed Sized 256
Compression Time 6.294501e-04, Decompression Time 6.090269e-04, OrigSize 2048, Compressed Sized 512
Compression Time 6.282759e-04, Decompression Time 6.092551e-04, OrigSize 4096, Compressed Sized 1024
Compression Time 6.286590e-04, Decompression Time 6.154881e-04, OrigSize 8192, Compressed Sized 2048
Compression Time 6.282859e-04, Decompression Time 6.088638e-04, OrigSize 16384, Compressed Sized 4096
Compression Time 6.318550e-04, Decompression Time 6.088769e-04, OrigSize 32768, Compressed Sized 8192
Compression Time 6.416700e-04, Decompression Time 6.092510e-04, OrigSize 65536, Compressed Sized 16384
Compression Time 6.828022e-04, Decompression Time 6.197000e-04, OrigSize 131072, Compressed Sized 32768
Compression Time 6.316900e-04, Decompression Time 6.089110e-04, OrigSize 262144, Compressed Sized 65536
Compression Time 6.312940e-04, Decompression Time 6.082711e-04, OrigSize 524288, Compressed Sized 131072
Compression Time 6.311471e-04, Decompression Time 6.091931e-04, OrigSize 1048576, Compressed Sized 262144
Compression Time 6.369231e-04, Decompression Time 6.120751e-04, OrigSize 2097152, Compressed Sized 524288
Compression Time 6.313801e-04, Decompression Time 6.085482e-04, OrigSize 4194304, Compressed Sized 1048576
Compression Time 6.316280e-04, Decompression Time 6.114349e-04, OrigSize 8388608, Compressed Sized 2097152
Compression Time 6.334469e-04, Decompression Time 6.568351e-04, OrigSize 16777216, Compressed Sized 4194304
Compression Time 6.821489e-04, Decompression Time 6.191030e-04, OrigSize 33554432, Compressed Sized 8388608
Compression Time 6.464109e-04, Decompression Time 6.105812e-04, OrigSize 67108864, Compressed Sized 16777216
Compression Time 9.125490e-04, Decompression Time 6.294279e-04, OrigSize 134217728, Compressed Sized 33554432
Compression Time 2.197241e-03, Decompression Time 6.085269e-04, OrigSize 268435456, Compressed Sized 67108864
Compression Time 4.875408e-03, Decompression Time 6.104162e-04, OrigSize 536870912, Compressed Sized 134217728
Compression Time 1.031129e-02, Decompression Time 6.082060e-04, OrigSize 1073741824, Compressed Sized 268435456

